Sector de actividad económica;Tipo de equipo e instalación;Ámbito medioambiental;Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2016;339.113
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2015;270.138
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2014;799.662
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2013;0
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2012;8.472
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2011;1.343
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2010;1.030.811
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2009;4.033.594
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2008;2.399.858
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2020;279.976
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2019;609.642
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2018;1.049.250
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2017;1.592.574
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2016;1.959.558
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2015;1.771.127
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2014;2.848.728
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2013;4.336.042
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;05 Canarias;2012;8.192.648
